## name list
#
# Note: when no variable name available in this list fill the variable names with the
# variable name and empty units and empty comment
#
# The variables have to comply with CF conventions where applicable
# \href{https://cfconventions.org/Data/cf-standard-names/current/build/cf-standard-name-table.html|}
#
# FORMAT USED FOR NAMING VARIABLES
#	standard_variable_name		,		long_name		,		units		,		comments



# Main variables
"m_lat"							,	"measured_glider_dead_reckoned_latitude"				,	"degree_north"			,	"decimal degrees North WGS84 (+90/-90), recorded using glider compass"
"m_lon"						,	"measured_glider_dead_reckoned_longitude"			,	"degree_east"			,	"decimal degrees East WGS84 (+180/-180), recorded using glider compass"
"m_water_vy"				,	"measured_glider_northward_water_velocity"			,	"m s-1"						,	" "
"m_water_vx"				,	"measured_glider_eastward_water_velocity"				,	"m s-1"						,	" "
"m_final_water_vy"		,	"measured_final_glider_northward_water_velocity"	,	"m s-1"						,	" "
"m_final_water_vx"		,	"measured_final_glider_eastward_water_velocity"		,	"m s-1"						,	" "
"m_initial_water_vy"	,	"measured_initial_glider_northward_water_velocity"	,	"m s-1"						,	" "
"m_initial_water_vx"	,	"measured_initial_glider_eastward_water_velocity"	,	"m s-1"						,	" "
"x_dr_state"					,	"estimated_glider_dead_reckoning_state"					,	"enum"						,	"this variable contains the glider states (surfacing=2, about to surface=1, about to dive =3, diving=4) which can be used to parse apart the glider gps locations for dead-reckoning error estimation and correction of the measured glider compass underwater positions."
"m_present_time"		,	"measured_glider_flight_computer_time"					 ,	"s"				,	"seconds since 1970, epoch time stamp on glider flight computer for all glider flight computer variables and sensors"


# GLIDER SCIENCE COMPUTER VARIABLES
"sci_m_present_time"			,	"science_measured_glider_science_computer_time"					 ,	"s"						,	"seconds since 1970, epoch time stamp on glider science computer for all glider science variables and sensors"
"sci_m_science_on"			,	"science_measured_glider_science_computer_state"				,	"enum"					,	"off=0, on=1"
"sci_water_cond"					,	"science_measured_sea_water_electrical_conductivity"			,	"S m-1"				,	"  "
"sci_water_pressure"			,	"science_measured_sea_water_pressure"									,	"dbar"					,	"  "
"sci_water_temp"					,	"science_measured_sea_water_temperature"							,	"degree_C"			,	"  "
"sci_water_salninty"				, 	"science_computed_sea_water_practical_salinity"						,	"PSU"					, 	"from sci_water_temp, sci_water_cond, sci_water_pressure"

# RBR CTD
"sci_rbrctd_cond_cell_temp_00",	"rbr_ctd_temperature_of_conductivity_cell",	"degree_C"			,	"internal temperature of the RBR conductivity cell used for correcting salinity and temperature in post-processing"
"sci_rbrctd_conductivity_00"		,	"rbr_ctd_conductivity_of_conductivity_cell"	,	"S m-1"				,	"conductivity of the RBR conductivity cell used for correcting salinity and temperature in post-processing"
"sci_rbrctd_temperature_00"		,	"rbr_ctd_thermistor_temperature"				,	"degree_C"			,	"temperature readings of the external RBR thermistor measuring ambient seawater temperature"
"sci_rbrctd_seapressure_00"		,	"rbr_ctd_sea_water_pressure"					,	"dbar"					,	"used in sci_water_pressure"
"sci_rbrctd_salinity_00"				,	"rbr_ctd_computed_practical_salinity"			,	"PSU"					,	"salinity computed by RBR CTD from temperature, pressure and conductivity"


# Oxygen Optode
"sci_oxy4_calphase"					,	"oxygen_optode_calibrated_phase_readings" , "degree"			,	"temperature calibrated and compensated phase angle output of the oxygen optode used in the 7 foil coeffiecients SVU Formula Uchida et al. (2008) to compute oxygen.
"sci_oxy4_tcphase"						,	"oxygen_optode_temperature_compensated_phase_readings",	"degree",		"temperature compensated phase angle output of the oxygen optode. Input is used in the 4x7 coefficient oxygen foil model to compute the oxygen concentration from temperature and tcphase.
"sci_oxy4_oxygen"						,	"oxygen_optode_molar_oxygen_concentration"							,	"micro-mol L"	,	"oxygen concentration of the glider optode sensor computed internally from sci_oxy4_calphase and sci_oxy4_temp but not compensated for varying salinity. Salinity is set internaly to S=0 PSU"
"sci_oxy4_temp"							,	"oxygen_optode_temperature"													,	"degree_C"		,	"oxygen sensor thermistor readings"
"sci_oxy4_saturation"					,	"oxygen_optode_sea_water_saturation"										,	"1"					,	"oxygen sensor seawater saturation computed internally from thermistor readings sci_oxy4_temp using forumlae from Benson and Krause (1984), as fitted by Garcia and Gordon (1992, 1993), but not accounting for salinity"




